城市,时间,天气,温度,风向
北京,2018/6/30,雷阵雨转多云,37℃～23℃,西南风转东南风 <3级
北京,2018/6/29,多云,39℃～25℃,西南风转南风 3-4级转3-4级
北京,2018/6/28,晴,35℃～24℃,北风转西南风 3-4级转3-4级
北京,2018/6/27,多云转晴,38℃～25℃,西北风转微风 3-4级转3-4级
北京,2018/6/26,晴,36℃～25℃,西南风转南风 3-4级转3-4级
北京,2018/6/25,阴转雷阵雨,30℃～25℃,南风转东北风 3-4级转3-4级
北京,2018/6/24,阴转多云,35℃～25℃,西南风转南风 3-4级
北京,2018/6/23,晴,35℃～25℃,南风转西南风 3-4级转3-4级
北京,2018/6/22,阴转多云,31℃～22℃,南风转微风 <3级
北京,2018/6/21,多云,35℃～23℃,东北风转东南风 3-4级转3-4级
北京,2018/6/20,晴,36℃～21℃,西风转南风 3-4级转3-4级
北京,2018/6/19,多云转晴,34℃～20℃,东风转微风 3-4级转3-4级
北京,2018/6/18,多云转雷阵雨,32℃～21℃,南风转东北风 3-4级转3-4级
北京,2018/6/17,小雨转多云,27℃～22℃,西风转南风 <3级
北京,2018/6/16,阴转雷阵雨,29℃～21℃,西南风 <3级
北京,2018/6/15,多云,29℃～20℃,南风转东南风 3-4级转3-4级
北京,2018/6/14,多云,30℃～19℃,西风转东南风 3-4级转3-4级
北京,2018/6/13,阴转多云,22℃～18℃,东风转西北风 3-4级转3-4级
北京,2018/6/12,多云转雷阵雨,31℃～18℃,南风转东风 3-4级转3-4级
北京,2018/6/11,多云,26℃～19℃,西南风转东南风 3-4级转3-4级
北京,2018/6/10,阴转多云,25℃～17℃,东风转南风 3-4级转3-4级
北京,2018/6/9,阴,22℃～17℃,西风转东风 3-4级转3-4级
北京,2018/6/8,阴转小雨,31℃～20℃,北风转西南风 3-4级
北京,2018/6/7,多云,32℃～20℃,西风转微风 3-4级转3-4级
北京,2018/6/6,阴转多云,32℃～25℃,东风转东北风 3-4级转3-4级
北京,2018/6/5,多云,38C～25C,西南风 3-4级转3-4级
北京,2018/6/4,晴,34C～21C,南风转西南风 4-5级
北京,2018/6/3,阴转多云,30C～18C,南风转西风 3-4级转3-4级
北京,2018/6/2,多云,35C～21C,南风 3-4级转3-4级
北京,2018/6/1,晴,35C～21C,西南风 3-4级转3-4级
